date,realised_temp,issue_date,forecast_temp,HDD,forecast_error,abs_forecast_error,gasInStorage,workingGasVolume,full,trend,issue_date_price,log_vol_lag1,log_vol_lag5,log_vol_lag22,future_log_vol_5d,daily_rv,log_daily_rv,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,actual_date_price,GPRD
2023-12-01,0.925,2023-11-28,0.3104166666666667,17.075,0.6145833333333334,0.6145833333333334,1099.9153,1141.3979,96.37,-0.49,42.77399826049805,-5.660535879544287,-6.568348752827799,-6.938998262069944,-5.786186961247009,0.0007781621054894,-7.158575692393417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.49599838256836,184.384765625
2023-12-04,2.8,2023-12-01,2.828125,15.2,-0.0281250000000001,0.0281250000000001,1080.5421,1141.2834,94.68,-0.54,43.49599838256836,-6.340422713812458,-6.276517080529383,-6.798111752214394,-6.070478453797628,0.0010781379454402,-6.83251984952421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.104000091552734,94.81410217285156
2023-12-05,4.625,2023-12-02,5.001041666666667,13.375,-0.3760416666666666,0.3760416666666666,1075.0608,1141.2834,94.2,-0.48,43.49599838256836,-6.340422713812458,-6.276517080529383,-6.798111752214394,-6.070478453797628,0.0010781379454402,-6.83251984952421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.132999420166016,122.122314453125
2023-12-06,4.75,2023-12-03,4.859375,13.25,-0.109375,0.109375,1070.1878,1141.2834,93.77,-0.43,43.49599838256836,-6.340422713812458,-6.276517080529383,-6.798111752214394,-6.070478453797628,0.0010781379454402,-6.83251984952421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.3129997253418,110.7027816772461
2023-12-07,3.45,2023-12-04,3.673958333333333,14.55,-0.223958333333333,0.223958333333333,1063.3818,1141.2834,93.17,-0.6,40.104000091552734,-6.83251984952421,-6.168192732054906,-6.756187451937239,-6.279869486306756,0.0065922805821711,-5.021855923086136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.96799850463867,194.85691833496094
2023-12-08,5.65,2023-12-05,5.535416666666666,12.35,0.1145833333333339,0.1145833333333339,1056.7791,1141.2834,92.6,-0.58,38.132999420166016,-5.021855923086136,-5.908100081173481,-6.535817257616294,-6.385908461960109,0.0025397617012911,-5.975685020348492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.59799957275391,89.69046020507812
2023-12-11,10.275,2023-12-08,10.055208333333333,7.725,0.2197916666666675,0.2197916666666675,1039.2411,1141.2834,91.06,-0.42,38.59799957275391,-8.205900905980615,-6.08253157596493,-6.59789483514052,-6.202361682766423,0.0012165199427061,-6.711761001542024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.11800003051758,153.5236358642578
2023-12-12,9.225,2023-12-09,9.304166666666667,8.775,-0.0791666666666675,0.0791666666666675,1036.3117,1141.2834,90.8,-0.26,38.59799957275391,-8.205900905980615,-6.08253157596493,-6.59789483514052,-6.202361682766423,0.0012165199427061,-6.711761001542024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.702999114990234,106.34246826171875
2023-12-13,8.5,2023-12-10,7.868749999999999,9.5,0.6312500000000005,0.6312500000000005,1034.0861,1141.2834,90.61,-0.2,38.59799957275391,-8.205900905980615,-6.08253157596493,-6.59789483514052,-6.202361682766423,0.0012165199427061,-6.711761001542024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.8120002746582,124.12431335449219
2023-12-14,7.025,2023-12-11,6.766666666666667,10.975,0.2583333333333337,0.2583333333333337,1030.4717,1141.2834,90.29,-0.32,36.11800003051758,-6.711761001542024,-6.070478453797628,-6.559325543258191,-6.182330512350459,0.0044101677277422,-5.423842556518245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.849998474121094,153.77490234375
2023-12-15,7.25,2023-12-12,6.771875,10.75,0.4781250000000003,0.4781250000000003,1026.5985,1141.2557,89.95,-0.34,34.702999114990234,-5.423842556518245,-6.279869486306756,-6.50016080596077,-5.7279394057068345,0.0015972207144164,-6.439490213026857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.18899917602539,167.4221954345703
2023-12-18,5.925,2023-12-15,6.513541666666667,12.075,-0.588541666666667,0.588541666666667,1014.5261,1141.2834,88.89,-0.33,33.18899917602539,-7.206875834617098,-6.324990459603299,-6.452649081243788,-5.922588803616206,0.0023848203574717,-6.038631478874107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.52199935913086,169.25527954101562
2023-12-19,6.85,2023-12-16,7.264583333333332,11.15,-0.4145833333333328,0.4145833333333328,1012.7216,1141.2834,88.74,-0.16,33.18899917602539,-7.206875834617098,-6.324990459603299,-6.452649081243788,-5.922588803616206,0.0023848203574717,-6.038631478874107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.56800079345703,104.33283996582031
2023-12-20,7.675,2023-12-17,7.191666666666666,10.325,0.4833333333333334,0.4833333333333334,1010.6713,1141.2834,88.56,-0.18,33.18899917602539,-7.206875834617098,-6.324990459603299,-6.452649081243788,-5.922588803616206,0.0023848203574717,-6.038631478874107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.520999908447266,90.89362335205078
2023-12-21,10.1,2023-12-18,9.628125,7.9,0.4718749999999989,0.4718749999999989,1006.602,1141.2834,88.2,-0.36,35.52199935913086,-6.038631478874107,-6.202361682766423,-6.390078975219824,-6.345138700402978,0.0046149922028892,-5.378445100326846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.202999114990234,144.02468872070312
2023-12-22,9.325,2023-12-19,9.171875,8.675,0.1531249999999993,0.1531249999999993,1002.2363,1141.2834,87.82,-0.38,32.56800079345703,-5.378445100326846,-6.182330512350459,-6.28817345701815,-7.5182563960306785,0.0075380543426939,-4.887791174864435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.17399978637695,187.75686645507812
2023-12-26,9.35,2023-12-23,9.236458333333331,8.65,0.1135416666666664,0.1135416666666664,992.4714,1141.2834,86.96,-0.12,34.17399978637695,-7.809972811326914,-5.758742096229583,-6.136970738332043,-6.201194012313798,7.194752504772734e-07,-14.144742319534489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.17399978637695,150.29798889160156
2023-12-27,8.525,2023-12-24,9.161458333333334,9.475,-0.6364583333333336,0.6364583333333336,991.9429,1141.2834,86.91,-0.05,34.17399978637695,-7.809972811326914,-5.758742096229583,-6.136970738332043,-6.201194012313798,7.194752504772734e-07,-14.144742319534489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.51300048828125,52.916419982910156
2023-12-28,10.275,2023-12-25,10.003125,7.725,0.2718749999999996,0.2718749999999996,991.7394,1141.2834,86.9,-0.02,34.17399978637695,-7.809972811326914,-5.758742096229583,-6.136970738332043,-6.201194012313798,7.194752504772734e-07,-14.144742319534489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.10499954223633,136.3998565673828
2023-12-29,9.775,2023-12-26,9.634375,8.225,0.140625,0.140625,990.9871,1141.2834,86.83,-0.07,34.17399978637695,-14.144742319534489,-5.922588803616206,-6.140208327261297,-5.805026000631005,0.0,-27.631021115928547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.349998474121094,139.57447814941406
2024-01-22,8.65,2024-01-19,7.891666666666667,9.35,0.7583333333333337,0.7583333333333337,860.243,1141.2835,75.38,-0.68,28.429000854492188,-10.024905284571718,-6.047487072083304,-6.024348587192465,-6.547043777575138,0.0003622943848851,-7.9230534559462065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.263999938964844,207.4058380126953
2024-01-23,8.15,2024-01-20,7.942708333333334,9.85,0.2072916666666664,0.2072916666666664,853.8786,1141.2835,74.82,-0.56,28.429000854492188,-10.024905284571718,-6.047487072083304,-6.024348587192465,-6.547043777575138,0.0003622943848851,-7.9230534559462065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.226999282836918,83.86247253417969
2024-01-24,11.15,2024-01-21,10.803125,6.85,0.3468750000000007,0.3468750000000007,847.9545,1141.2835,74.3,-0.52,28.429000854492188,-10.024905284571718,-6.047487072083304,-6.024348587192465,-6.547043777575138,0.0003622943848851,-7.9230534559462065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.929000854492188,70.10725402832031
2024-01-25,8.55,2024-01-22,8.611458333333333,9.45,-0.0614583333333325,0.0614583333333325,842.0951,1141.2835,73.78,-0.51,27.263999938964844,-7.9230534559462065,-6.018639991987918,-6.063092069510459,-6.824821354071629,0.0017508059013302,-6.347679081434227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78400039672852,186.62353515625
2024-01-26,8.850000000000001,2024-01-23,8.198958333333334,9.15,0.6510416666666679,0.6510416666666679,836.654,1141.2835,73.31,-0.48,27.226999282836918,-6.347679081434227,-5.990040334592871,-6.120660838211157,-6.540495746309187,1.8442909368932464e-06,-13.20341512817349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.07900047302246,169.07244873046875
2024-01-29,7.525,2024-01-26,7.401041666666666,10.475,0.1239583333333342,0.1239583333333342,823.4162,1141.2559,72.15,-0.37,28.07900047302246,-6.418630742712637,-6.512678094328575,-6.195075197900182,-7.017150868209661,0.0001115485164832,-9.101050927328744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.173999786376957,141.32115173339844
2024-01-30,8.5,2024-01-27,8.145833333333332,9.5,0.3541666666666678,0.3541666666666678,819.356,1141.2559,71.79,-0.36,28.07900047302246,-6.418630742712637,-6.512678094328575,-6.195075197900182,-7.017150868209661,0.0001115485164832,-9.101050927328744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.391000747680664,178.9195556640625
2024-01-31,7.175,2024-01-28,7.617708333333333,10.825,-0.442708333333333,0.442708333333333,815.1971,1141.2835,71.43,-0.36,28.07900047302246,-6.418630742712637,-6.512678094328575,-6.195075197900182,-7.017150868209661,0.0001115485164832,-9.101050927328744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.23500061035156,152.74087524414062
2024-02-01,7.525,2024-01-29,7.170833333333333,10.475,0.3541666666666669,0.3541666666666669,809.796,1141.2835,70.95,-0.47,28.173999786376957,-9.101050927328744,-6.547043777575138,-6.192608124671739,-6.796750214732112,1.1408022485460362e-05,-11.38119363561104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.99099922180176,140.53317260742188
2024-02-02,7.75,2024-01-30,7.634375,10.25,0.1156249999999996,0.1156249999999996,804.5193,1141.2835,70.49,-0.46,29.391000747680664,-11.38119363561104,-6.824821354071629,-6.192354525310535,-7.159834001151889,0.0017883570863282,-6.326457908900043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.304000854492188,206.27711486816406
2024-02-05,9.55,2024-02-02,10.452083333333333,8.45,-0.9020833333333318,0.9020833333333318,790.3394,1141.2835,69.25,-0.37,29.304000854492188,-6.339466503947618,-7.017992380352048,-6.251512255101289,-7.709611802981196,0.0001153184854154,-9.067812810362678,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.340999603271484,171.52455139160156
2024-02-06,10.1,2024-02-03,10.205208333333331,7.9,-0.1052083333333335,0.1052083333333335,787.8439,1141.2835,69.03,-0.22,29.304000854492188,-6.339466503947618,-7.017992380352048,-6.251512255101289,-7.709611802981196,0.0001153184854154,-9.067812810362678,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.60700035095215,96.79580688476562
2024-02-07,7.675,2024-02-04,8.394791666666666,10.325,-0.7197916666666666,0.7197916666666666,785.4001,1141.2835,68.82,-0.21,29.304000854492188,-6.339466503947618,-7.017992380352048,-6.251512255101289,-7.709611802981196,0.0001153184854154,-9.067812810362678,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.18600082397461,85.66985321044922
2024-02-08,7.425,2024-02-05,7.508333333333333,10.575,-0.083333333333333,0.083333333333333,781.7123,1141.2835,68.49,-0.32,28.340999603271484,-9.067812810362678,-7.017150868209661,-6.326923055808631,-7.159653980102495,0.0011165320968609,-6.797527738453373,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.812000274658203,125.87757110595703
