date,price,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,daily_return,daily_rv,log_daily_rv,log_vol_lag1,log_vol_lag5,log_vol_lag22,future_log_vol_5d
2025-01-31,53.23699951171875,0,0,0,0,0,0,0,0,0,0,0,0.028793044072357797,0.0008290393869527385,-7.095242891348815,-9.005076089214652,-6.864001878634759,-6.906163820373236,-7.497903810255527
2025-02-03,53.79399871826172,1,0,0,0,0,0,0,0,0,0,0,0.010408278800738323,0.00010833226759389879,-9.130307492714957,-7.095242891348815,-6.739641457502107,-6.86941540832753,-7.05366153060676
2025-02-04,52.04800033569336,1,0,0,0,0,0,0,0,0,0,0,-0.03299553677741531,0.0010887054472297664,-6.822765950745245,-9.130307492714957,-6.99099761856009,-6.894623616930518,-7.337087489747826
2025-02-05,53.4379997253418,1,0,0,0,0,0,0,0,0,0,0,0.026355722057913124,0.0006946240851939683,-7.2721397419036995,-6.822765950745245,-6.788627232459711,-6.880838074642083,-7.146511102424964
2025-02-06,54.50199890136719,1,0,0,0,0,0,0,0,0,0,0,0.01971527984731981,0.00038869225945813466,-7.85272263165464,-7.2721397419036995,-7.472162376838945,-6.857884997611591,-6.220131408191145
2025-02-07,55.722999572753906,1,0,0,0,0,0,0,0,0,0,0,0.022155602340743312,0.0004908707150811506,-7.619329772211591,-7.85272263165464,-7.382765515941261,-6.94153232716182,-6.251156131898842
2025-02-10,58.03900146484375,1,0,0,0,0,0,0,0,0,0,0,0.040722243182954435,0.0016583010898516789,-6.401961639931208,-7.619329772211591,-7.497903810255527,-6.919163914692124,-6.336884833231182
2025-02-11,57.76599884033203,1,0,0,0,0,0,0,0,0,0,0,-0.004714876378926786,2.2230059268561757e-05,-10.714065118855462,-6.401961639931208,-7.05366153060676,-6.920866441701847,-6.297170171346219
2025-02-12,55.6609992980957,1,0,0,0,0,0,0,0,0,0,0,-0.037120637681176585,0.001377941741857187,-6.587164383875652,-10.714065118855462,-7.337087489747826,-6.927214567533969,-6.4267808089153755
2025-02-13,51.382999420166016,1,0,0,0,0,0,0,0,0,0,0,-0.07997234237885635,0.006395575545561023,-5.0521488485388,-6.587164383875652,-7.146511102424964,-6.865316061542834,-7.96759367634128
2025-02-14,50.685001373291016,1,0,0,0,0,0,0,0,0,0,0,-0.01367733124166797,0.0001870693898943067,-8.584030935639623,-5.0521488485388,-6.220131408191145,-6.8009581783381465,-8.081096346077645
2025-02-18,49.21500015258789,1,0,0,0,0,0,0,0,0,0,0,-0.02943157774737731,0.0008662177686999152,-7.051374214847972,-8.584030935639623,-6.251156131898842,-6.824724937750266,-6.996071990759574
2025-02-19,48.263999938964844,1,0,0,0,0,0,0,0,0,0,0,-0.019512518307759068,0.0003807383707106328,-7.873398107139594,-7.051374214847972,-6.336884833231182,-6.78919334126542,-6.3239534648339335
2025-02-20,47.49399948120117,1,0,0,0,0,0,0,0,0,0,0,-0.016082563524700097,0.000258648849526014,-8.260039205653703,-7.873398107139594,-6.297170171346219,-6.784701774211224,-5.766310540820741
2025-02-21,47.19499969482422,1,0,0,0,0,0,0,0,0,0,0,-0.006315428038515994,3.988463130967397e-05,-10.129519463405765,-8.260039205653703,-6.4267808089153755,-6.782045738338464,-5.7569667641083475
